claim_id,policy_id,claim_date,amount,status
CLM0000828,POL003340,2026-05-09,55881.16,OPEN
CLM0000567,POL004963,2024-08-28,69849.0,OPEN
CLM0004654,POL004554,2025-04-26,52611.56,DENIED
CLM0004732,POL002294,2025-01-17,77714.92,IN REVIEW
CLM0008498,POL003180,2026-04-06,41818.76,IN REVIEW
CLM0002421,POL004192,2026-02-28,67218.08,CLOSED
CLM0004859,POL003864,2024-06-14,67130.21,OPEN
CLM0011211,POL002004,2024-08-19,1930.75,IN REVIEW
CLM0011666,POL002656,2025-02-24,8487.83,IN REVIEW
CLM0006155,POL001154,2024-09-28,41705.21,CLOSED
CLM0006032,POL002552,2025-01-26,62050.22,OPEN
CLM0001942,POL000306,2024-07-17,1098.83,CLOSED
CLM0002484,POL001476,2025-07-23,62652.94,DENIED
CLM0007091,POL002641,2025-11-05,74587.87,CLOSED
CLM0008861,POL003696,2026-04-23,34060.66,DENIED
CLM0000517,POL001211,2025-03-30,69102.19,CLOSED
CLM0007896,POL004375,2025-05-26,79307.74,DENIED
CLM0002640,POL003543,2025-06-05,77409.35,CLOSED
CLM0007606,POL004900,2026-06-14,13773.35,CLOSED
CLM0011770,POL000483,2026-07-12,79586.19,DENIED
CLM0011071,POL003300,2025-05-04,79157.27,OPEN
CLM0007019,POL004865,2024-10-21,42869.7,OPEN
CLM0006703,POL002835,N/A,68940.69,IN REVIEW
CLM0009018,POL003317,2025-04-05,53262.39,OPEN
CLM0006713,POL002315,2024-09-28,199.11,OPEN
CLM0008385,POL004420,2026-07-14,79223.26,OPEN
CLM0008876,POL000596,2025-03-20,41067.27,DENIED
CLM0011699,POL003169,2025-02-26,27459.68,CLOSED
CLM0007854,POL002647,2025-05-13,30599.69,DENIED
CLM0005249,POL003542,2026-03-16,28960.89,CLOSED
CLM0009925,POL002189,2024-11-29,34873.45,CLOSED
CLM0003073,POL000910,2026-07-10,7481.25,OPEN
CLM0002788,POL001052,2024-09-14,28985.47,IN REVIEW
CLM0008773,POL004182,2026-04-21,42998.43,CLOSED
CLM0006980,POL002723,2024-07-12,67164.43,DENIED
CLM0003666,POL004623,2025-11-15,37287.01,DENIED
CLM0005355,POL002836,2025-11-23,74082.63,OPEN
CLM0010008,POL000638,2026-02-05,45030.94,CLOSED
CLM0008940,POL001859,2025-10-03,79236.47,DENIED
CLM0002454,POL002928,2025-03-18,12096.11,OPEN
CLM0011260,POL003857,2025-05-26,59264.12,IN REVIEW
CLM0002539,POL004113,2026-07-06,33887.07,OPEN
CLM0000559,POL003958,2025-01-09,78624.05,DENIED
CLM0009613,POL004673,2026-04-24,20592.43,DENIED
CLM0010560,POL001353,2025-08-25,79948.35,DENIED
CLM0008344,POL004427,2024-10-08,6931.9,OPEN
CLM0010750,POL002231,2026-05-21,45423.42,OPEN
CLM0004151,POL003036,2026-04-29,68140.8,CLOSED
CLM0002753,POL003275,2026-05-13,29470.69,IN REVIEW
CLM0005666,POL004799,2024-12-31,7077.23,DENIED
CLM0008233,POL003734,2026-02-21,28170.04,OPEN
CLM0003212,POL000453,2026-05-20,21490.57,IN REVIEW
CLM0009063,POL004413,2025-07-20,59404.85,CLOSED
CLM0006538,POL002904,2026-07-10,48606.13,CLOSED
CLM0005684,POL001664,2026-05-17,20040.13,CLOSED
CLM0008617,POL001650,2025-03-31,16634.78,IN REVIEW
CLM0000704,POL004047,2025-12-05,67148.73,CLOSED
CLM0006708,POL000187,2025-12-07,39466.08,CLOSED
CLM0002254,POL004446,2025-03-16,18598.55,OPEN
CLM0009213,POL002921,2025-11-01,75457.18,IN REVIEW
CLM0011681,POL003715,2026-05-18,18841.97,OPEN
CLM0010743,POL002835,2025-09-11,45973.64,IN REVIEW
CLM0000072,POL004605,2026-06-06,33545.53,OPEN
CLM0005696,POL000260,2026-06-13,37517.53,OPEN
CLM0010810,POL001504,2025-05-27,66497.08,DENIED
CLM0006752,POL001615,2024-07-15,10424.61,denied
CLM0011075,POL001413,,72765.88,in review
CLM0005832,POL004848,2025-02-07,26857.07,OPEN
CLM0005722,POL004972,2026-07-07,11861.52,DENIED
CLM0003213,POL003120,2024-10-19,60253.6,open
CLM0004256,POL000697,2025-03-09,52846.77,DENIED
CLM0008292,POL000760,2025-05-26,50653.19,DENIED
CLM0009051,POL000703,2026-03-01,27905.1,CLOSED
CLM0006972,POL001388,2025-10-30,697.58,CLOSED
CLM0000050,POL003423,2026-07-19,5339.89,CLOSED
CLM0000018,POL002278,2025-10-26,57193.32,DENIED
CLM0007829,POL002817,2026-04-05,60764.78,IN REVIEW
CLM0010185,POL003607,2024-09-23,45106.52,DENIED
CLM0000505,POL002981,2024-08-26,12111.83,IN REVIEW
CLM0002911,POL002176,2025-03-24,76457.5,OPEN
CLM0004901,POL004633,N/A,26690.68,DENIED
CLM0006640,POL002428,2025-10-31,46480.84,DENIED
CLM0003320,POL004936,2024-10-13,62217.1,DENIED
CLM0002605,POL003425,2026-03-28,79674.47,CLOSED
CLM0007922,POL001012,2025-02-02,58434.84,DENIED
CLM0010089,POL004090,2024-07-09,19943.65,IN REVIEW
CLM0006560,POL003789,2024-12-31,22656.72,DENIED
CLM0009222,POL001880,2026-05-17,48255.64,CLOSED
CLM0002179,POL000107,2024-08-12,9537.45,CLOSED
CLM0004978,POL000324,2024-11-13,77643.65,OPEN
CLM0000560,POL004173,2025-08-16,11513.95,IN REVIEW
CLM0007642,POL001993,2024-08-06,33005.36,DENIED
CLM0006815,POL000290,2025-02-16,51935.35,OPEN
CLM0007942,POL003847,2026-05-10,17151.56,DENIED
CLM0005594,POL000740,2025-10-30,37366.13,OPEN
CLM0011335,POL003323,2026-07-19,25379.31,IN REVIEW
CLM0009452,POL003347,2025-05-18,11416.15,CLOSED
CLM0004067,POL003716,2026-02-02,42358.9,DENIED
CLM0011301,POL000164,2024-11-13,75926.75,DENIED
CLM0003594,POL003086,2024-12-16,68770.09,OPEN
CLM0006079,POL002701,2025-07-19,14548.87,DENIED
CLM0008371,POL000546,2024-12-12,15598.81,DENIED
CLM0005780,POL002847,2025-05-25,75926.01,OPEN
CLM0004576,POL003256,2026-01-09,73562.94,IN REVIEW
CLM0001396,POL003490,2025-03-30,9999999.99,CLOSED
CLM0003518,POL004493,2024-09-02,25879.88,IN REVIEW
CLM0002193,POL001175,2025-09-10,36029.49,CLOSED
CLM0005876,POL000816,2025-05-12,788.52,DENIED
CLM0011137,POL000978,31/12/2025,67755.58,OPEN
CLM0009514,POL002767,2026-03-18,79877.22,CLOSED
CLM0009867,POL003523,2025-10-04,78276.32,DENIED
CLM0010216,POL000315,2026-07-03,15445.29,DENIED
CLM0002436,POL004676,2026-05-19,40968.45,IN REVIEW
CLM0001216,POL003359,2025-07-23,63049.91,DENIED
CLM0000962,POL002429,2024-12-21,66019.12,OPEN
CLM0011537,POL002413,2026-06-21,62946.54,DENIED
CLM0002171,POL003360,2026-05-03,1805.55,  IN REVIEW 
CLM0003538,POL003859,2025-01-31,24419.7,DENIED
CLM0009322,POL003158,2025-01-25,70196.38,OPEN
CLM0003902,POL003347,2025-01-19,68725.43,IN REVIEW
CLM0011688,POL001874,2025-07-05,34125.1,IN REVIEW
CLM0005450,POL003580,2026-07-02,23938.98,IN REVIEW
CLM0001796,POL003322,2025-10-21,27673.22,IN REVIEW
CLM0007757,POL002107,2025-09-02,30104.1,DENIED
CLM0011157,POL000715,2026-04-02,38374.09,DENIED
CLM0007752,POL000558,2025-03-26,19539.93,IN REVIEW
CLM0005291,POL000672,2025-11-06,23782.29,OPEN
CLM0005816,POL002436,2025-09-28,76489.19,DENIED
CLM0004408,POL003275,2024-11-13,77870.22,DENIED
CLM0006183,POL004373,2025-12-31,48076.27,  CLOSED 
CLM0004898,POL002611,2024-11-04,22808.94,OPEN
CLM0001454,POL002166,2025-10-08,30998.69,DENIED
CLM0000422,POL001355,2026-02-19,72694.99,DENIED
CLM0010680,POL002837,2024-12-24,10368.19,IN REVIEW
CLM0001314,POL002384,2026-07-05,69153.07,DENIED
CLM0009215,POL002811,2026-05-16,58607.78,CLOSED
CLM0001268,POL003113,2025-03-15,13306.55,DENIED
CLM0000388,POL004017,2024-09-13,65731.13,CLOSED
CLM0005845,POL004487,2025-06-05,36722.63,DENIED
CLM0004056,POL004668,2024-06-14,2623.87,CLOSED
CLM0011174,POL001269,2024-10-26,44484.12,DENIED
CLM0004982,POL000869,2026-01-22,60746.37,DENIED
CLM0004360,POL000452,2024-12-20,13912.7,CLOSED
CLM0009771,POL004581,2025-01-30,65876.25,DENIED
CLM0004553,POL001212,2025-03-18,32212.22,CLOSED
CLM0001136,POL001717,2024-07-09,72869.3,IN REVIEW
CLM0005214,POL002468,2026-04-05,52868.07,DENIED
CLM0005836,POL004418,2025-06-02,7556.96,  IN REVIEW 
CLM0001492,POL001638,2024-12-26,59453.68,CLOSED
CLM0007258,POL002909,2025-04-18,61479.21,DENIED
CLM0004959,POL004925,2024-07-11,33283.5,DENIED
CLM0000489,POL000913,2024-06-16,40012.73,OPEN
CLM0008161,POL000403,2025-12-04,79520.2,IN REVIEW
CLM0002829,POL001714,2025-12-02,78418.62,IN REVIEW
CLM0005835,POL003418,2024-11-02,11251.4,CLOSED
CLM0006292,POL000024,2026-05-21,42870.63,DENIED
CLM0009542,POL000019,2026-04-04,24340.26,DENIED
CLM0001563,POL002645,2024-09-18,1957.66,CLOSED
CLM0010384,POL002116,2024-06-13,18680.38,CLOSED
CLM0004513,POL004465,2025-11-06,31226.89,CLOSED
CLM0006066,POL002251,2025-10-08,19009.65,CLOSED
CLM0008071,POL004603,2024-09-02,35526.87,DENIED
CLM0007486,POL004620,2026-07-05,11432.55,CLOSED
CLM0006925,POL001989,2024-10-28,12614.8,IN REVIEW
CLM0000399,POL002974,2025-07-25,35944.3,CLOSED
CLM0006574,POL004787,2024-08-01,52083.97,DENIED
CLM0005085,POL000579,2025-10-02,51387.47,DENIED
CLM0010246,POL001006,2025-02-02,6271.08,OPEN
CLM0009699,POL000416,2026-05-16,21491.56,CLOSED
CLM0008211,POL002187,2024-10-03,22764.21,CLOSED
CLM0000378,POL002136,2024-07-17,56465.42,  IN REVIEW 
CLM0000490,POL002916,2026-06-06,24366.17,OPEN
CLM0010036,POL004447,2026-04-09,63640.23,IN REVIEW
CLM0001911,POL000646,2024-07-29,25001.34,DENIED
CLM0010182,POL004866,2026-05-25,65735.6,DENIED
CLM0003731,POL001482,2026-01-16,9240.87,DENIED
CLM0008901,POL004069,2024-11-13,51126.94,DENIED
CLM0000379,POL000039,2026-02-19,70934.25,DENIED
CLM0008554,POL000305,2026-06-20,27417.28,OPEN
CLM0003069,POL002017,2024-12-03,8449.69,IN REVIEW
CLM0008706,POL002621,2024-08-25,58584.89,CLOSED
CLM0008839,POL002958,2025-04-09,59182.85,OPEN
CLM0005496,POL003241,2026-07-02,32110.87,open
CLM0005993,POL004655,2026-06-08,0,OPEN
CLM0009023,POL001336,2025-10-31,13227.08,  DENIED 
CLM0009738,POL003578,2025-03-07,17065.48,OPEN
CLM0007774,POL004992,2024-08-07,48460.79,IN REVIEW
CLM0004364,POL003399,2025-07-14,22449.65,OPEN
CLM0005892,POL003249,2026-04-01,12562.86,OPEN
CLM0000107,POL000082,2025-11-11,41997.33,DENIED
CLM0011252,POL003982,2025-07-03,21512.41,OPEN
CLM0003982,POL002436,2025-04-22,45607.7,CLOSED
CLM0007261,POL000641,2025-02-15,52065.71,OPEN
CLM0007949,POL001787,2026-02-16,69392.0,OPEN
CLM0010131,POL003786,2024-12-09,49757.62,IN REVIEW
CLM0003281,POL004092,2026-13-45,54744.89,CLOSED
CLM0002046,POL002602,2024-08-13,29462.1,OPEN
CLM0006419,POL003151,2024-07-27,68234.77,CLOSED
CLM0009545,POL001207,2025-07-08,14343.22,CLOSED
CLM0004768,POL002599,2025-03-26,2528.93,IN REVIEW
CLM0000510,POL001726,2025-01-17,41267.69,OPEN
CLM0009900,POL003816,2025-03-25,48033.14,OPEN
CLM0005012,POL002007,2025-11-09,8225.35,DENIED
CLM0002569,POL002701,2025-09-22,74982.24,OPEN
CLM0004070,POL004644,2025-10-16,21405.57,OPEN
CLM0007068,POL001854,2025-06-15,49240.15,OPEN
CLM0002544,POL002367,2025-10-30,29444.94,CLOSED
CLM0000090,POL003645,2026-01-20,75266.91,OPEN
CLM0005511,POL000413,2025-02-27,79259.86,in review
CLM0000459,POL000262,2025-12-06,38622.49,OPEN
CLM0005314,POL002537,2024-09-30,65451.46,DENIED
CLM0001925,POL003315,2025-05-18,10835.03,IN REVIEW
CLM0010352,POL002764,2024-08-10,45788.38,CLOSED
CLM0010932,POL004916,2025-12-05,62274.75,IN REVIEW
CLM0008354,POL000404,2025-12-03,11915.55,IN REVIEW
CLM0003115,POL003850,2026-03-15,69284.56,IN REVIEW
CLM0003505,POL004373,2024-07-21,2976.97,DENIED
CLM0007904,POL000219,2025-02-24,41641.03,OPEN
CLM0001551,POL004107,2026-01-28,19307.78,OPEN
CLM0002203,POL004702,2025-10-03,55631.3,IN REVIEW
CLM0001061,POL003590,2026-04-28,76004.51,IN REVIEW
CLM0009064,POL002551,2024-08-31,5156.41,CLOSED
CLM0007984,POL004226,2024-06-10,70782.07,DENIED
CLM0005648,POL001373,2024-08-04,34088.72,CLOSED
CLM0003346,POL004752,2026-03-30,50658.46,OPEN
CLM0005770,POL003925,2024-06-30,29930.37,IN REVIEW
CLM0010803,POL002514,2025-01-26,70342.24,open
CLM0003615,POL002985,2024-06-20,53853.17,OPEN
CLM0011819,POL003476,2024-12-29,63935.67,DENIED
CLM0003293,POL000292,2026-05-11,28024.86,CLOSED
CLM0009179,POL002588,2026-02-09,5816.76,OPEN
CLM0005270,POL004287,2026-07-17,50785.51,OPEN
CLM0008348,POL001539,2025-04-28,5038.57,CLOSED
CLM0011322,POL004655,2026-06-26,22970.09,CLOSED
CLM0000887,POL002817,2026-03-27,74389.39,CLOSED
CLM0002034,POL004641,2026-04-16,60854.2,CLOSED
CLM0005432,POL002972,2025-06-14,61953.43,DENIED
CLM0010795,POL000331,2025-11-26,35372.13,OPEN
CLM0000064,POL000659,2026-07-04,43523.5,DENIED
CLM0008701,POL004469,2024-08-01,11734.42,IN REVIEW
CLM0004703,POL001636,2026-03-14,20032.73,CLOSED
CLM0003146,POL003186,2026-05-07,4828.89,DENIED
CLM0010141,POL002643,2025-10-11,7552.97,DENIED
CLM0011010,POL000564,2024-09-28,686.1,IN REVIEW
CLM0005475,POL003345,2025-01-24,40294.76,IN REVIEW
CLM0004738,POL000061,2026-04-03,43899.63,OPEN
CLM0001993,POL001287,2026-07-19,9748.22,CLOSED
CLM0006488,POL002104,2025-05-27,22795.56,OPEN
CLM0001381,POL001708,2025-08-02,1771.29,CLOSED
CLM0009488,POL000091,2024-06-29,4659.83,IN REVIEW
CLM0009455,POL001299,2025-10-19,-21582.37,DENIED
CLM0011059,POL001251,2026-07-02,40067.98,CLOSED
CLM0009726,POL002537,2026-04-12,7490.42,IN REVIEW
CLM0005738,POL000479,2026-03-09,65172.01,CLOSED
CLM0006643,POL000467,2025-10-23,56893.46,IN REVIEW
CLM0003951,POL003215,2024-09-09,26135.35,closed
CLM0000733,POL002955,2026-05-21,11016.06,IN REVIEW
CLM0006975,POL000064,2024-08-07,51986.25,DENIED
CLM0000937,POL000757,2024-12-03,30960.26,OPEN
CLM0005098,POL004222,2026-04-02,77924.45,DENIED
CLM0003207,POL001794,2024-11-03,63883.66,OPEN
CLM0000613,POL003546,2025-12-14,6792.05,CLOSED
CLM0001683,POL004328,2025-04-10,40366.5,CLOSED
CLM0007035,POL002454,2026-04-10,37143.71,CLOSED
CLM0008573,POL002206,2025-02-12,57729.29,OPEN
CLM0001631,POL004096,2026-01-21,8918.7,IN REVIEW
CLM0004478,POL000463,2025-04-02,23354.45,IN REVIEW
CLM0010444,POL004366,2026-03-26,50598.06,IN REVIEW
CLM0007691,POL000101,2024-06-18,14096.65,IN REVIEW
CLM0003327,POL004715,2026-06-24,37773.8,CLOSED
CLM0003137,POL001062,2025-06-15,45295.55,CLOSED
CLM0010635,POL002158,2024-09-11,75139.65,CLOSED
CLM0006031,POL002243,2025-07-22,40340.86,IN REVIEW
CLM0001323,POL000846,2026-01-26,61990.35,CLOSED
CLM0004236,POL003104,2025-06-01,31380.52,DENIED
CLM0010265,POL004497,2025-06-03,67534.42,DENIED
CLM0004052,POL001614,N/A,48084.64,IN REVIEW
CLM0010943,POL004449,2024-11-08,42617.84,DENIED
CLM0006063,POL935989,2024-10-04,39492.49,IN REVIEW
CLM0010531,POL002770,2024-12-20,28744.46,OPEN
CLM0001828,POL002071,2025-12-20,77094.97,CLOSED
CLM0011482,POL003083,2024-11-27,53015.62,DENIED
CLM0007269,POL001104,2024-12-27,16404.86,CLOSED
CLM0009149,POL000813,2024-06-03,30250.72,CLOSED
CLM0008700,POL005000,2025-09-08,11549.75,OPEN
CLM0010143,POL004863,2026-06-10,39224.67,CLOSED
CLM0001603,POL001725,31/12/2025,9643.56,OPEN
CLM0005761,POL003470,2026-01-22,55224.66,CLOSED
CLM0010607,POL004876,2026-07-08,64325.63,CLOSED
CLM0007513,POL004806,2024-09-24,6884.53,DENIED
CLM0001147,POL001244,2024-08-16,9466.49,CLOSED
CLM0000070,POL001982,2025-04-14,24534.13,IN REVIEW
CLM0003548,POL004963,2025-06-12,43595.42,CLOSED
CLM0003574,POL003637,2025-08-17,11956.27,CLOSED
CLM0001186,POL001389,2025-10-08,48061.65,CLOSED
CLM0001344,POL916725,2024-10-31,42700.87,CLOSED
CLM0005650,POL003665,2026-03-30,67594.13,IN REVIEW
CLM0010406,POL001907,2024-09-08,14404.33,DENIED
CLM0005715,POL001587,2024-11-09,36628.28,OPEN
CLM0011547,POL004385,2025-07-02,58866.88,OPEN
CLM0011667,POL001286,2026-04-27,44571.04,IN REVIEW
CLM0011642,POL001233,2026-04-12,22674.38,OPEN
CLM0005436,POL002579,2026-02-06,43869.54,OPEN
CLM0007027,POL003328,2026-03-19,23934.41,CLOSED
CLM0000501,POL003890,2025-09-30,15611.86,IN REVIEW
CLM0001290,POL000147,2025-11-05,68687.73,DENIED
CLM0004952,POL002860,2025-05-01,55310.88,CLOSED
CLM0011695,POL000854,2025-05-21,70002.41,OPEN
CLM0010935,POL001338,2024-10-08,56070.7,IN REVIEW
CLM0007311,POL003894,2024-10-06,51273.47,OPEN
CLM0008603,POL000978,2026-05-27,13099.68,  CLOSED 
CLM0002102,POL001998,2024-08-17,34602.53,DENIED
CLM0000532,POL004650,,8108.59,CLOSED
CLM0003623,POL000411,2024-11-01,16451.18,IN REVIEW
CLM0006740,POL002943,2026-05-11,67152.25,DENIED
CLM0000219,POL001907,2025-11-04,41051.23,open
CLM0002243,POL002456,2026-06-23,3817.38,OPEN
CLM0004866,POL001102,2025-07-12,44468.46,open
CLM0009579,POL001437,2024-08-16,15634.29,in review
CLM0008027,POL004087,2024-10-18,12102.32,IN REVIEW
CLM0005406,POL002170,2026-05-17,73166.95,IN REVIEW
CLM0009223,POL003397,2024-06-30,5005.16,OPEN
CLM0004383,POL004706,2024-06-04,44564.21,OPEN
CLM0009931,POL003098,2024-12-01,77151.25,IN REVIEW
CLM0005576,POL000824,2024-06-05,24993.01,DENIED
CLM0004190,POL004593,2026-03-20,72979.58,DENIED
CLM0010815,POL001144,2025-12-06,23168.81,OPEN
CLM0007075,POL003286,2025-08-20,46234.75,DENIED
CLM0002517,POL003045,2026-06-16,11533.84,DENIED
CLM0003891,POL001096,2025-05-15,45833.3,DENIED
CLM0011353,POL000550,2025-08-10,74774.34,CLOSED
CLM0003331,POL001121,2025-02-13,-54299.93,denied
CLM0000845,POL003039,2026-05-21,2256.48,IN REVIEW
CLM0001712,POL002276,2025-05-07,79474.37,IN REVIEW
CLM0011341,POL004830,2026-06-27,35487.37,open
CLM0004657,POL000780,2025-09-03,44027.82,IN REVIEW
CLM0005964,POL003215,2025-10-02,67129.12,DENIED
CLM0001166,POL004838,2026-02-27,63974.02,DENIED
CLM0002407,POL004974,2024-07-11,57113.35,CLOSED
CLM0008978,POL004102,2025-08-26,511.89,IN REVIEW
CLM0005898,POL004288,2026-13-45,20594.84,CLOSED
CLM0011520,POL004750,2024-06-24,7762.19,DENIED
CLM0005678,POL002474,2024-10-01,15401.29,DENIED
CLM0003709,POL001853,2024-07-15,76515.91,IN REVIEW
CLM0009737,POL003893,2024-12-26,70349.39,IN REVIEW
CLM0008956,POL004119,2026-03-02,57262.64,IN REVIEW
CLM0005764,POL002545,2026-01-29,12496.15,CLOSED
CLM0011868,POL002834,2025-07-27,78132.47,OPEN
CLM0008651,POL004076,2026-02-14,48511.25,CLOSED
CLM0011490,POL001214,2025-07-21,10399.45,DENIED
CLM0005046,POL003611,2025-11-28,52052.56,OPEN
CLM0004979,POL000873,2025-08-02,20796.08,DENIED
CLM0011289,POL004681,2024-09-24,58214.64,OPEN
CLM0008785,POL003443,2025-10-13,26469.78,CLOSED
CLM0002486,POL002098,2025-07-14,12341.75,OPEN
CLM0002340,POL004008,N/A,26490.54,CLOSED
CLM0011380,POL004956,2026-03-09,7875.34,IN REVIEW
CLM0010020,POL004104,2026-04-07,54853.96,CLOSED
CLM0003321,POL004129,2024-11-16,23721.35,OPEN
CLM0000528,POL003385,2025-05-31,17314.27,OPEN
CLM0003696,POL000992,2025-07-22,68613.74,IN REVIEW
CLM0009339,POL002473,2024-09-02,34352.53,OPEN
CLM0007143,POL000251,2025-07-15,19756.08,  OPEN 
CLM0006612,POL000600,2025-03-12,8236.08,OPEN
CLM0007981,POL003571,2026-06-16,27320.43,OPEN
CLM0010872,POL001289,2024-10-03,1499.25,OPEN
CLM0006555,POL002608,2026-07-04,41502.79,DENIED
CLM0006135,POL002311,2024-12-07,30097.2,CLOSED
CLM0005906,POL000789,2026-05-01,55217.84,CLOSED
CLM0004793,POL000887,N/A,40287.19,OPEN
CLM0003232,POL004519,2024-08-15,64193.9,IN REVIEW
CLM0010835,POL000420,2025-06-28,49871.22,OPEN
CLM0009074,POL003665,2026-04-29,79829.11,in review
CLM0006990,POL003524,2025-03-31,52531.81,IN REVIEW
CLM0006101,POL002922,2025-07-20,10742.54,DENIED
CLM0010946,POL002260,2024-11-17,70611.72,IN REVIEW
CLM0000919,POL004294,2024-08-03,42859.06,IN REVIEW
CLM0008017,POL004706,2024-10-21,35839.33,IN REVIEW
CLM0009448,POL002469,2024-09-05,24338.76,OPEN
CLM0000616,POL002776,2026-02-18,51170.04,CLOSED
CLM0001969,POL002975,2025-01-29,33350.23,CLOSED
CLM0006971,POL000021,2024-08-17,19602.61,IN REVIEW
CLM0010248,POL003813,2024-10-10,20004.14,closed
CLM0000025,POL004545,2025-11-07,44523.97,DENIED
CLM0001129,POL001323,2025-02-17,8937.51,CLOSED
CLM0000189,POL002690,2025-10-13,49720.94,OPEN
CLM0010846,POL003029,2026-02-07,61675.46,CLOSED
CLM0000910,POL003340,2024-11-04,56229.73,OPEN
CLM0009648,POL000361,2025-04-26,5511.2,OPEN
CLM0010764,POL002529,2025-10-22,28228.09,CLOSED
CLM0004780,POL002379,2025-01-10,45897.06,DENIED
CLM0009016,POL003039,2025-05-31,72755.42,OPEN
CLM0009022,POL000586,2025-03-23,19008.62,open
CLM0005665,POL000186,2026-04-02,75976.24,IN REVIEW
CLM0005399,POL000525,2025-06-02,78235.43,CLOSED
CLM0002095,POL000159,2026-05-14,65089.58,OPEN
CLM0004905,POL002133,2026-06-20,2910.41,IN REVIEW
CLM0004544,POL001299,2025-08-19,29951.26,  DENIED 
