policy_id,broker_id,product,start_date,end_date,premium,status,extract_date
POL003049,BRK0050,Property,2024-10-28,2025-10-28,14296.6,RENEWED,2026-08-15
POL004368,BRK0032,Cyber,2024-07-09,2025-07-09,5576.58,ACTIVE,2026-08-15
POL001868,BRK0030,Cyber,2026-03-28,2027-03-28,7640.8,LAPSED,2026-08-15
POL004254,BRK0017,Marine,31/12/2025,2027-03-06,2694.28,RENEWED,2026-08-15
POL000090,BRK0033,Cyber,2024-05-09,2025-05-09,2942.94,RENEWED,2026-08-15
POL004241,BRK0043,General Liability,2025-06-17,2026-06-17,4273.5,CANCELLED,2026-08-15
POL004160,BRK0009,Cyber,2025-01-16,2026-01-16,2960.22,LAPSED,2026-08-15
POL004111,BRK0022,Cyber,2024-05-08,2025-05-08,24594.39,ACTIVE,2026-08-15
POL001651,BRK0011,Marine,2025-02-04,2026-02-04,2228.03,CANCELLED,2026-08-15
POL003542,BRK0009,Property,2025-03-17,2026-03-17,13006.04,RENEWED,2026-08-15
POL000797,BRK0016,commercial auto,2024-06-14,2025-06-14,9556.97,LAPSED,2026-08-15
POL000251,BRK0015,Property,2026-04-23,2027-04-23,21942.6,ACTIVE,2026-08-15
POL004521,BRK0050,Property,0000-00-00,2026-04-11,19024.37,CANCELLED,2026-08-15
POL001138,BRK0001,Commercial Auto,2025-01-11,2026-01-11,22757.72,LAPSED,2026-08-15
POL002066,BRK0004,Cyber,2024-07-16,2025-07-16,15381.97,ACTIVE,2026-08-15
POL003220,BRK0040,Property,2025-08-16,2026-08-16,18310.43,LAPSED,2026-08-15
POL001425,BRK0003,Commercial Auto,2026-01-09,2027-01-09,10517.43,RENEWED,2026-08-15
POL001994,BRK0031,Property,2024-06-13,2025-06-13,16307.9,RENEWED,2026-08-15
POL003858,BRK0027,Marine,2026-06-11,2027-06-11,13415.51,LAPSED,2026-08-15
POL003756,BRK0050,Marine,2024-09-02,2025-09-02,17086.67,ACTIVE,2026-08-15
POL002633,BRK0021,Property,2025-01-14,2026-01-14,5589.28,CANCELLED,2026-08-15
POL002209,BRK0044,General Liability,2025-08-27,2026-08-27,6529.39,RENEWED,2026-08-15
POL003370,BRK0024,General Liability,2025-04-27,2026-04-27,2066.12,CANCELLED,2026-08-15
POL001013,BRK0038,Cyber,2024-11-14,2025-11-14,8901.06,CANCELLED,2026-08-15
POL002461,BRK0036,General Liability,2025-10-30,2026-10-30,19481.82,LAPSED,2026-08-15
POL002837,BRK0020,Property,2025-01-06,2026-01-06,9644.19,RENEWED,2026-08-15
POL002534,BRK0044,Marine,2024-07-13,2025-07-13,10232.89,LAPSED,2026-08-15
POL004357,BRK0016,Commercial Auto,2025-05-28,2026-05-28,9933.53,CANCELLED,2026-08-15
POL001706,BRK0032,General Liability,2024-11-09,2025-11-09,1520.0,ACTIVE,2026-08-15
POL000986,BRK0009,Cyber,2026-04-30,2027-04-30,12868.1,CANCELLED,2026-08-15
POL003823,BRK0044,Marine,2025-05-20,2026-05-20,21473.92,CANCELLED,2026-08-15
POL004504,BRK0022,General Liability,2024-08-28,2025-08-28,3762.37,RENEWED,2026-08-15
POL000608,BRK0047,Commercial Auto,2024-11-24,2025-11-24,13339.71,RENEWED,2026-08-15
POL000641,BRK0039,Cyber,2025-05-11,2026-05-11,14236.84,ACTIVE,2026-08-15
POL003200,BRK0026,General Liability,2024-03-25,2025-03-25,10747.24,ACTIVE,2026-08-15
POL004193,BRK0009,Cyber,N/A,2026-01-31,13291.29,CANCELLED,2026-08-15
POL004733,BRK0017,Marine,2025-05-31,2026-05-31,14198.75,LAPSED,2026-08-15
POL000594,BRK0045,Commercial Auto,2025-04-19,2026-04-19,1872.94,RENEWED,2026-08-15
POL002562,BRK0048,Commercial Auto,2025-02-21,2026-02-21,24105.14,RENEWED,2026-08-15
POL004746,BRK0007,Marine,2026-03-20,2027-03-20,12337.69,RENEWED,2026-08-15
POL001962,BRK0022,Marine,2024-01-31,2025-01-30,19508.62,RENEWED,2026-08-15
POL001517,BRK0007,Marine,2024-12-18,2025-12-18,12071.5,RENEWED,2026-08-15
POL003107,BRK0038,Marine,2025-12-14,2026-12-14,7167.31,CANCELLED,2026-08-15
POL004421,BRK0006,Cyber,2025-08-14,2026-08-14,9554.24,ACTIVE,2026-08-15
POL004515,BRK0016,Cyber,2026-02-24,2027-02-24,6665.73,RENEWED,2026-08-15
POL004892,BRK0002,Commercial Auto,2024-02-11,2025-02-10,23167.8,RENEWED,2026-08-15
POL004613,BRK0032,Commercial Auto,2026-01-24,2027-01-24,9744.52,CANCELLED,2026-08-15
POL000120,BRK0008,Commercial Auto,2025-06-22,2026-06-22,2871.15,RENEWED,2026-08-15
POL002929,BRK0024,Marine,2025-10-26,2026-10-26,16642.6,LAPSED,2026-08-15
POL001389,BRK0009,Cyber,2024-10-26,2025-10-26,2371.26,LAPSED,2026-08-15
POL004077,BRK0029,Property,2025-10-25,2026-10-25,7471.87,CANCELLED,2026-08-15
POL001521,BRK0016,General Liability,2026-02-25,31/12/2025,18916.27,ACTIVE,2026-08-15
POL004984,BRK0040,  Property ,2026-02-13,2027-02-13,15185.68,LAPSED,2026-08-15
POL001977,BRK0024,Marine,2026-04-08,2027-04-08,14249.17,LAPSED,2026-08-15
POL003839,BRK0010,Property,2024-08-09,2025-08-09,664.48,CANCELLED,2026-08-15
POL000748,BRK0030,General Liability,2024-03-23,2025-03-23,9912.01,LAPSED,2026-08-15
POL002238,BRK0029,Cyber,2025-08-07,2026-08-07,2012.0,ACTIVE,2026-08-15
POL002773,BRK0029,COMMERCIAL AUTO,2024-03-07,2025-03-07,3501.32,RENEWED,2026-08-15
POL003782,BRK0001,General Liability,2024-11-15,2025-11-15,8214.14,ACTIVE,2026-08-15
POL002720,BRK0032,Marine,2024-01-12,2025-01-11,19411.64,CANCELLED,2026-08-15
POL002388,BRK0049,CYBER,2025-12-31,2026-12-31,2924.88,LAPSED,2026-08-15
POL000245,BRK0002,Marine,N/A,2027-01-10,1609.6,CANCELLED,2026-08-15
POL000491,BRK0010,General Liability,2024-02-10,2025-02-09,21156.93,CANCELLED,2026-08-15
POL004246,BRK0014,Marine,2024-04-16,2025-04-16,12665.35,RENEWED,2026-08-15
POL002707,BRK0041,General Liability,2024-07-12,2025-07-12,5888.27,ACTIVE,2026-08-15
POL004581,BRK0041,Commercial Auto,2025-09-13,2026-09-13,506.34,ACTIVE,2026-08-15
POL002809,BRK0003,Property,2025-09-01,2026-09-01,20719.35,CANCELLED,2026-08-15
POL003894,BRK0033,General Liability,2025-01-07,2026-01-07,12673.54,RENEWED,2026-08-15
POL002448,BRK0023,Property,2026-03-11,2027-03-11,9075.2,ACTIVE,2026-08-15
POL000746,BRK0015,Commercial Auto,2025-07-07,2026-07-07,3469.49,CANCELLED,2026-08-15
POL002711,BRK0033,Property,2025-12-06,2026-12-06,15113.36,CANCELLED,2026-08-15
POL000185,BRK0010,Marine,2025-09-11,2026-09-11,14561.08,CANCELLED,2026-08-15
POL000242,BRK0008,Commercial Auto,2025-07-31,2026-07-31,13648.17,LAPSED,2026-08-15
POL002597,BRK0002,General Liability,2025-03-26,2026-03-26,13759.0,CANCELLED,2026-08-15
POL000563,BRK0012,Cyber,2025-05-17,2026-05-17,1826.63,RENEWED,2026-08-15
POL001183,BRK0013,Commercial Auto,2025-09-23,2026-09-23,17653.89,LAPSED,2026-08-15
POL004619,BRK0005,General Liability,2024-11-10,2025-11-10,15880.3,CANCELLED,2026-08-15
POL001163,BRK0032,Commercial Auto,2025-07-21,2026-07-21,18404.54,RENEWED,2026-08-15
POL003344,BRK0016,Marine,2024-11-03,2025-11-03,1276.01,ACTIVE,2026-08-15
POL000078,BRK0049,CYBER,2026-04-13,2027-04-13,24269.53,RENEWED,2026-08-15
POL004132,BRK0011,Property,2025-01-25,2026-01-25,6429.33,RENEWED,2026-08-15
POL000225,BRK0013,Cyber,2024-08-07,2025-08-07,3176.05,LAPSED,2026-08-15
POL001327,BRK0022,Commercial Auto,2025-03-14,2026-03-14,15956.59,LAPSED,2026-08-15
POL000601,BRK0039,Property,2025-12-05,2026-12-05,2739.34,CANCELLED,2026-08-15
POL004671,BRK0018,General Liability,2026-01-04,2027-01-04,7042.62,CANCELLED,2026-08-15
POL001462,BRK0047,Marine,2025-05-23,2026-05-23,11580.62,ACTIVE,2026-08-15
POL002552,BRK0014,Commercial Auto,2025-06-28,2026-06-28,22059.38,ACTIVE,2026-08-15
POL002667,BRK0018,Cyber,2026-02-07,2027-02-07,14171.51,LAPSED,2026-08-15
POL003760,BRK0048,Commercial Auto,2025-06-03,2026-06-03,5615.13,RENEWED,2026-08-15
POL001056,BRK0012,Cyber,2025-11-05,2026-11-05,22195.77,LAPSED,2026-08-15
POL004535,BRK0030,General Liability,2026-02-16,2027-02-16,9842.66,RENEWED,2026-08-15
POL000749,BRK0045,Marine,2024-11-02,2025-11-02,2579.13,RENEWED,2026-08-15
POL000849,BRK0002,cyber,2024-03-03,2025-03-03,1113.64,LAPSED,2026-08-15
POL004579,BRK0009,Cyber,2024-04-17,2025-04-17,23562.87,CANCELLED,2026-08-15
POL000299,BRK0032,Property,2025-11-20,2026-11-20,18023.29,RENEWED,2026-08-15
POL002862,BRK0022,Property,2025-09-01,2026-09-01,12301.87,CANCELLED,2026-08-15
POL000095,BRK0045,General Liability,2024-06-19,2025-06-19,7687.51,CANCELLED,2026-08-15
POL004382,BRK0032,Commercial Auto,2026-13-45,2026-07-17,19428.73,LAPSED,2026-08-15
POL003036,BRK0045,Marine,2026-02-08,2027-02-08,16881.67,ACTIVE,2026-08-15
POL003761,BRK0041,Marine,2025-02-15,2026-02-15,9748.91,RENEWED,2026-08-15
POL002513,BRK0004,Property,2026-02-05,2027-02-05,25809.77,ACTIVE,2026-08-15
POL002133,BRK0038,Marine,2025-04-16,2026-04-16,7707.01,LAPSED,2026-08-15
POL003197,BRK0048,Commercial Auto,2025-08-12,2026-08-12,15439.38,ACTIVE,2026-08-15
POL002806,BRK0038,Marine,2024-07-29,2025-07-29,1073.18,ACTIVE,2026-08-15
POL004557,BRK0002,Marine,2025-04-24,2026-04-24,16876.51,ACTIVE,2026-08-15
POL004584,BRK0003,Property,2026-03-01,2027-03-01,15706.69,RENEWED,2026-08-15
POL004788,BRK0018,Cyber,0000-00-00,2026-09-11,6132.19,ACTIVE,2026-08-15
POL002876,BRK0039,Commercial Auto,2025-11-23,2026-11-23,5506.58,LAPSED,2026-08-15
POL004264,BRK0025,Marine,2025-05-27,2026-05-27,7686.9,LAPSED,2026-08-15
POL000980,BRK0018,Cyber,2024-01-20,2025-01-19,14090.33,LAPSED,2026-08-15
POL004576,BRK0022,Property,2026-03-20,2027-03-20,12171.87,ACTIVE,2026-08-15
POL003168,BRK0016,Property,2024-06-22,2025-06-22,17894.67,ACTIVE,2026-08-15
POL002728,BRK0035,Marine,2025-02-22,2026-02-22,7689.57,RENEWED,2026-08-15
POL002767,BRK0027,General Liability,2025-05-25,2026-05-25,20305.43,RENEWED,2026-08-15
POL001464,BRK0041,Commercial Auto,2026-04-09,2027-04-09,12500.38,LAPSED,2026-08-15
POL001507,BRK0030,Cyber,2024-05-23,2025-05-23,22581.23,CANCELLED,2026-08-15
POL003274,BRK0028,Cyber,2025-03-11,N/A,658.27,CANCELLED,2026-08-15
POL003470,BRK0019,Property,2024-07-28,2025-07-28,24592.88,CANCELLED,2026-08-15
POL002204,BRK0039,  Cyber ,2024-06-19,2025-06-19,10941.87,ACTIVE,2026-08-15
POL002294,BRK0025,Property,2025-09-13,2026-09-13,5261.87,RENEWED,2026-08-15
POL002311,BRK0004,Property,2024-10-22,2025-10-22,6477.23,ACTIVE,2026-08-15
POL003530,BRK0035,Property,2025-02-18,2026-02-18,17331.84,RENEWED,2026-08-15
POL003910,BRK0042,Property,2025-07-08,2026-07-08,7752.97,RENEWED,2026-08-15
POL001211,BRK0007,Cyber,2026-03-21,2027-03-21,5456.88,RENEWED,2026-08-15
POL002744,BRK0007,Marine,2024-09-03,2025-09-03,16479.67,RENEWED,2026-08-15
POL004232,BRK0026,Cyber,2026-03-27,2027-03-27,15372.18,CANCELLED,2026-08-15
POL000568,BRK0012,Cyber,2025-04-06,2026-04-06,2946.81,CANCELLED,2026-08-15
POL004427,BRK0015,Commercial Auto,2025-08-15,2026-08-15,22688.8,ACTIVE,2026-08-15
POL004202,BRK0043,Property,2024-10-22,2025-10-22,3527.7,ACTIVE,2026-08-15
POL000192,BRK0006,Commercial Auto,2025-09-18,2026-09-18,13379.54,RENEWED,2026-08-15
POL000119,BRK0002,PROPERTY,2025-11-07,0000-00-00,1783.78,RENEWED,2026-08-15
POL003792,BRK0026,Property,2025-05-15,2026-05-15,24913.04,RENEWED,2026-08-15
POL001167,BRK0009,Cyber,2025-01-10,2026-01-10,4676.86,ACTIVE,2026-08-15
POL004249,BRK0036,Commercial Auto,2026-03-04,2027-03-04,4889.33,RENEWED,2026-08-15
POL000591,BRK0041,Marine,2024-04-23,2025-04-23,5813.39,RENEWED,2026-08-15
POL000572,BRK0014,General Liability,2024-03-02,2025-03-02,8699.09,CANCELLED,2026-08-15
POL004573,BRK0029,Cyber,2026-01-02,2027-01-02,14672.46,ACTIVE,2026-08-15
POL003838,BRK0030,Property,2024-08-29,2025-08-29,10222.51,ACTIVE,2026-08-15
POL003613,BRK0002,Cyber,2025-02-03,2026-02-03,24795.73,RENEWED,2026-08-15
POL004356,BRK0027,Marine,2025-06-11,2026-06-11,24109.7,RENEWED,2026-08-15
POL001667,BRK0016,General Liability,2024-12-26,2025-12-26,24778.9,CANCELLED,2026-08-15
POL001405,BRK0006,General Liability,2025-08-16,2026-08-16,11290.77,CANCELLED,2026-08-15
POL002734,BRK0019,Commercial Auto,2026-03-31,2027-03-31,12579.91,LAPSED,2026-08-15
POL002364,BRK0032,Commercial Auto,2024-02-14,2025-02-13,11860.54,ACTIVE,2026-08-15
POL002654,BRK0033,Marine,2025-09-20,2026-09-20,9089.82,LAPSED,2026-08-15
POL001673,BRK0036,Cyber,2026-02-13,2027-02-13,2787.41,RENEWED,2026-08-15
POL003478,BRK0049,Property,2026-05-20,2027-05-20,2559.45,LAPSED,2026-08-15
POL004932,BRK0023,Property,2024-07-08,2025-07-08,22830.18,CANCELLED,2026-08-15
POL003938,BRK0036,General Liability,2024-05-16,2025-05-16,2538.54,RENEWED,2026-08-15
POL001052,BRK0013,Cyber,2025-08-24,2026-08-24,24781.59,RENEWED,2026-08-15
POL002795,BRK0018,Property,2024-04-07,2025-04-07,1983.48,ACTIVE,2026-08-15
POL002026,BRK0011,Cyber,2024-11-26,2025-11-26,20231.65,RENEWED,2026-08-15
POL002703,BRK0036,Marine,2026-05-25,2027-05-25,1741.22,CANCELLED,2026-08-15
POL003870,BRK0012,Marine,2026-05-04,2027-05-04,10345.72,LAPSED,2026-08-15
POL001890,BRK0049,Property,2024-02-19,2025-02-18,17535.16,ACTIVE,2026-08-15
POL003900,BRK0038,Cyber,2025-02-22,2026-02-22,17211.89,ACTIVE,2026-08-15
POL002990,BRK0036,Property,2026-06-08,2027-06-08,23401.9,RENEWED,2026-08-15
POL001299,BRK0005,Marine,2025-07-29,2026-07-29,14243.49,ACTIVE,2026-08-15
POL003236,BRK0034,PROPERTY,2024-08-03,2025-08-03,1333.25,RENEWED,2026-08-15
POL002144,BRK0019,Marine,2024-11-29,2025-11-29,5806.6,LAPSED,2026-08-15
POL002725,BRK0011,Property,2025-07-01,2026-07-01,3592.33,RENEWED,2026-08-15
POL003294,BRK0030,Cyber,2025-09-04,2026-09-04,11837.5,LAPSED,2026-08-15
POL003102,BRK0014,Cyber,2024-01-27,2025-01-26,8695.8,ACTIVE,2026-08-15
POL003582,BRK0035,Property,2025-09-26,2026-09-26,19625.28,CANCELLED,2026-08-15
POL000620,BRK0029,Marine,,2026-01-03,15096.19,LAPSED,2026-08-15
POL003038,BRK0043,  Marine ,2024-05-23,2025-05-23,16441.5,ACTIVE,2026-08-15
POL000011,BRK0007,Property,2025-11-10,2026-11-10,4308.47,CANCELLED,2026-08-15
POL004697,BRK0037,Marine,2024-06-18,2025-06-18,21331.79,LAPSED,2026-08-15
POL001284,BRK0030,Cyber,2024-04-23,2025-04-23,4925.38,ACTIVE,2026-08-15
POL003856,BRK0018,Property,2025-11-16,2026-11-16,11693.97,LAPSED,2026-08-15
POL000217,BRK0037,Commercial Auto,2024-02-02,2025-02-01,10617.52,LAPSED,2026-08-15
POL003250,BRK0029,Property,2024-07-16,2025-07-16,7108.29,ACTIVE,2026-08-15
POL003080,BRK0037,Commercial Auto,2024-05-19,2025-05-19,7955.34,LAPSED,2026-08-15
POL004494,BRK0014,Commercial Auto,2026-04-16,2027-04-16,6345.84,ACTIVE,2026-08-15
POL004364,BRK0024,property,2026-06-05,2027-06-05,14505.4,CANCELLED,2026-08-15
POL000492,BRK0037,Cyber,2025-05-17,2026-05-17,5889.07,LAPSED,2026-08-15
POL001583,BRK0001,Cyber,2025-08-05,2026-08-05,11344.72,LAPSED,2026-08-15
POL002780,BRK0046,Property,2026-05-30,2027-05-30,27977.4,RENEWED,2026-08-15
POL004336,BRK0050,Cyber,2024-02-17,2025-02-16,17159.28,ACTIVE,2026-08-15
POL004673,BRK0004,Marine,2025-10-08,2026-10-08,11315.2,LAPSED,2026-08-15
POL000100,BRK0025,Marine,2024-07-22,2025-07-22,7748.87,CANCELLED,2026-08-15
POL003209,BRK0012,Property,2025-01-02,2026-01-02,20355.54,RENEWED,2026-08-15
POL000337,BRK0008,Marine,2026-04-16,2027-04-16,2688.61,ACTIVE,2026-08-15
POL001961,BRK0011,Property,2024-03-05,2025-03-05,5257.18,CANCELLED,2026-08-15
POL003577,BRK0009,Commercial Auto,2025-07-16,2026-07-16,5829.83,CANCELLED,2026-08-15
POL004980,BRK0050,General Liability,2025-09-14,2026-09-14,22991.76,RENEWED,2026-08-15
POL003204,BRK0012,Property,2025-11-22,2026-11-22,7886.3,ACTIVE,2026-08-15
POL002408,BRK0033,Commercial Auto,2024-01-15,2025-01-14,21110.34,RENEWED,2026-08-15
POL000834,BRK0029,Property,2025-12-04,2026-12-04,5125.23,ACTIVE,2026-08-15
POL000535,BRK0031,Cyber,2024-06-30,2025-06-30,18933.39,ACTIVE,2026-08-15
POL002166,BRK0030,Property,2025-11-12,2026-11-12,8360.8,CANCELLED,2026-08-15
POL003113,BRK0020,Property,2025-03-09,2026-03-09,16359.89,RENEWED,2026-08-15
POL002921,BRK0009,MARINE,2024-06-07,2025-06-07,1716.92,RENEWED,2026-08-15
POL002811,BRK0023,Property,2024-06-09,2025-06-09,6494.62,ACTIVE,2026-08-15
POL003609,BRK0032,General Liability,2024-06-17,2025-06-17,16973.12,LAPSED,2026-08-15
POL000679,BRK0001,Commercial Auto,2026-02-24,2027-02-24,15591.84,ACTIVE,2026-08-15
POL002539,BRK0003,Property,2024-08-11,2025-08-11,14748.36,LAPSED,2026-08-15
POL001143,BRK0039,property,2024-07-04,2025-07-04,3916.1,RENEWED,2026-08-15
POL002178,BRK0012,Cyber,2024-01-03,2025-01-02,6538.99,RENEWED,2026-08-15
POL004129,BRK0043,Commercial Auto,2025-10-15,2026-10-15,12608.2,RENEWED,2026-08-15
POL002570,BRK0038,Marine,2024-12-26,2025-12-26,17253.73,RENEWED,2026-08-15
POL002888,BRK0012,Commercial Auto,2025-09-05,2026-09-05,548.8,CANCELLED,2026-08-15
POL002881,BRK0011,Cyber,2026-02-20,2027-02-20,12126.88,LAPSED,2026-08-15
POL003829,BRK0015,Cyber,2024-05-30,2025-05-30,16635.44,CANCELLED,2026-08-15
POL003872,BRK0049,Cyber,2025-12-24,2026-12-24,20082.18,CANCELLED,2026-08-15
POL001067,BRK0043,Commercial Auto,2025-11-27,2026-11-27,20846.04,LAPSED,2026-08-15
POL003243,BRK0008,Property,2026-05-29,2027-05-29,3596.15,RENEWED,2026-08-15
POL001717,BRK0021,Property,2025-07-03,2026-07-03,27457.75,LAPSED,2026-08-15
POL000468,BRK0006,Cyber,2026-04-25,2027-04-25,14277.15,RENEWED,2026-08-15
POL002864,BRK0050,Property,2025-08-18,2026-08-18,1722.82,RENEWED,2026-08-15
POL001674,BRK0017,Property,2026-05-22,2027-05-22,23070.83,ACTIVE,2026-08-15
POL000186,BRK0021,General Liability,2025-02-11,2026-02-11,12726.58,RENEWED,2026-08-15
POL001033,BRK0006,General Liability,2026-02-08,2027-02-08,11898.7,CANCELLED,2026-08-15
POL001745,BRK0018,Property,2025-12-17,2026-12-17,13643.08,ACTIVE,2026-08-15
POL001999,BRK0031,Property,2024-01-02,2025-01-01,10908.79,CANCELLED,2026-08-15
POL002465,BRK0005,Cyber,2024-03-14,2025-03-14,7154.67,ACTIVE,2026-08-15
POL003842,BRK0037,Property,2024-03-10,2025-03-10,2300.52,RENEWED,2026-08-15
POL004916,BRK0008,Cyber,2025-12-25,2026-12-25,20563.9,CANCELLED,2026-08-15
POL004354,BRK0025,Cyber,2024-09-29,2025-09-29,11958.9,LAPSED,2026-08-15
POL001363,BRK0042,Cyber,2024-12-26,2025-12-26,7319.33,CANCELLED,2026-08-15
POL000645,BRK0009,Commercial Auto,2025-11-03,2026-11-03,21881.19,LAPSED,2026-08-15
POL001849,BRK0006,General Liability,2024-03-07,2025-03-07,12924.28,LAPSED,2026-08-15
POL000055,BRK0002,Marine,2024-12-10,2025-12-10,18571.72,RENEWED,2026-08-15
POL000454,BRK0030,Commercial Auto,2024-09-27,2025-09-27,7618.9,CANCELLED,2026-08-15
POL000437,BRK0013,General Liability,2024-05-20,2025-05-20,11710.5,CANCELLED,2026-08-15
POL002659,BRK0031,Marine,2025-07-15,2026-07-15,18441.3,LAPSED,2026-08-15
POL002641,BRK0016,Property,2025-08-04,2026-08-04,806.8,RENEWED,2026-08-15
POL001375,BRK0008,Marine,2024-04-13,2025-04-13,5988.52,CANCELLED,2026-08-15
POL004181,BRK0028,Commercial Auto,2026-03-22,2027-03-22,3028.86,ACTIVE,2026-08-15
POL001905,BRK0046,Marine,2025-04-22,2026-04-22,24010.65,LAPSED,2026-08-15
POL001270,BRK0028,Marine,2025-07-09,2026-07-09,19494.37,CANCELLED,2026-08-15
POL003615,BRK0049,Cyber,2025-06-02,2026-06-02,20351.07,LAPSED,2026-08-15
POL000948,BRK0046,Cyber,2025-10-08,2026-10-08,17669.36,CANCELLED,2026-08-15
POL001574,BRK0031,MARINE,2024-06-28,2025-06-28,5995.59,CANCELLED,2026-08-15
POL001924,BRK0021,Commercial Auto,2026-03-04,2027-03-04,12092.77,ACTIVE,2026-08-15
POL002898,BRK0033,Cyber,2025-06-12,2026-06-12,16347.72,CANCELLED,2026-08-15
POL004901,BRK0025,  Marine ,2025-04-24,2026-04-24,18333.86,CANCELLED,2026-08-15
POL001561,BRK0030,COMMERCIAL AUTO,2024-09-07,2025-09-07,13234.3,RENEWED,2026-08-15
POL001022,BRK0036,Property,2026-05-17,2027-05-17,22810.9,ACTIVE,2026-08-15
POL002651,BRK0041,General Liability,2024-09-26,2025-09-26,16021.1,CANCELLED,2026-08-15
POL001168,BRK0044,Property,2024-12-12,2025-12-12,7606.59,RENEWED,2026-08-15
POL000672,BRK0005,Marine,2026-04-19,2027-04-19,4236.44,CANCELLED,2026-08-15
POL003134,BRK0049,Cyber,2024-05-10,2025-05-10,7596.08,RENEWED,2026-08-15
POL000176,BRK0003,Property,2024-07-25,2025-07-25,10256.49,RENEWED,2026-08-15
POL000831,BRK0044,Commercial Auto,2025-03-26,2026-03-26,6101.23,ACTIVE,2026-08-15
POL003688,BRK0032,Property,2025-06-03,2026-06-03,13605.26,ACTIVE,2026-08-15
POL001390,BRK0046,General Liability,2025-05-21,2026-05-21,7916.61,CANCELLED,2026-08-15
POL001506,BRK0014,Marine,2024-09-21,2025-09-21,15962.28,RENEWED,2026-08-15
POL003078,BRK0008,General Liability,2026-06-08,2027-06-08,22966.41,LAPSED,2026-08-15
POL001155,BRK0007,Commercial Auto,2025-01-22,2026-01-22,20622.91,RENEWED,2026-08-15
POL003746,BRK0036,Cyber,2026-02-15,2027-02-15,1339.73,RENEWED,2026-08-15
POL004419,BRK0008,Property,2026-02-08,2027-02-08,15485.03,ACTIVE,2026-08-15
POL001566,BRK0031,Property,2026-03-25,2027-03-25,11726.93,RENEWED,2026-08-15
POL002255,BRK0027,Commercial Auto,2026-01-01,2027-01-01,510.4,LAPSED,2026-08-15
POL000289,BRK0028,Marine,2024-07-10,2025-07-10,2695.66,ACTIVE,2026-08-15
POL004493,BRK0011,Marine,2024-03-13,2025-03-13,19056.79,RENEWED,2026-08-15
POL000663,BRK0008,Marine,2024-04-03,2025-04-03,22774.47,CANCELLED,2026-08-15
POL003343,BRK0042,Marine,2026-03-02,2027-03-02,20813.46,CANCELLED,2026-08-15
POL002561,BRK0033,Cyber,2026-06-12,2027-06-12,5494.24,RENEWED,2026-08-15
POL003599,BRK0008,Cyber,2024-10-24,2025-10-24,1522.63,LAPSED,2026-08-15
POL002794,BRK0002,Property,2024-07-10,2025-07-10,19970.48,ACTIVE,2026-08-15
POL000544,BRK0015,Marine,2026-02-04,2027-02-04,12954.42,CANCELLED,2026-08-15
